MONDE;;;;;;;
Evolution*  du nombre des boursiers (BGF) 2006-2011;;;;;;;
;2006;2007;2008;2009;2010;2011;évol.2006/2011

Union européenne;1 795;1 732;1 556;1 438;1 345;1 271;-29%
Europe (hors UE);1 780;1 870;1 703;1 548;1 646;1 484;-17%
TOTAL EUROPE;3 575;3 602;3 259;2 986;2 991;2 755;-23%


Amérique du Nord;171;146;154;134;122;97;-43%
TOTAL AMERIQUE *;1 665;1 660;1 636;1 427;1 655;1 770;6%

TOTAL ASIE OCEANIE;2 983;3 015;2 915;2 812;2 777;2 662;-11%

MOYEN-ORIENT;2 435;2 326;2 067;1 962;1 761;1 697;-30%

Afrique Sub saharienne francophone;3 337;3 283;2 950;2 590;2 466;2 503;-25%
Afrique Sub Saharienne non francophone;613;560;505;420;459;403;-34%
TOTAL AFRIQUE SUB SAHARIENNE;3 950;3 843;3 455;3 010;2 925;2 906;-26%

MAGHREB;4 021;3 947;3 580;3 393;3 271;2 897;-28%

TOTAL GENERAL;18 629;18 393;16 912;15 590;15 380;14 687;-21%
Source: EGIDE + CNOUS;;;;;;;
* il convient de rajouter 245 BGF Mexicains en 2011 gérées par Egide et le Cnous mais hors programmation;;;;;;;
